Nama,Ulasan,Tanggal
Sigit B. Prayudo,"Masih tetap ramai seperti biasanya, pedagang sepertinya banyak pindah kedepan dan keluar pasar. Didalamnya jadi sedikit sepi dan bisa jalan.
Dibagian dalam pasar cukup bersih. …",2024-01-14
Putri Dewaz,"Pasar terdekat dari tempatku tinggal, klo pagi hari suasana sangat rame sekali dan lumayan lengkap kl buat belanja kebutuhan harian... Yg jelas disini udh di lengkapi dgn pembayaran menggunakan Qris...",2023-10-14
Marcos Mintar Sahadi,"Pasar Demangan, seperti pasar pasar tradisional di pulau jawa, yang menjual kebutuhan pokok sehari hari, sayuran, bumbu dapur, telur, daging,ayam, ikan laut dan semua kebutuhan rumah tangga ada di dalamnya. Yang saya suka kalau ke pasat Demangan beli gudeg, yg jual jejer bertiga tapi semua sdh punya langganan masing-masing",2022-10-14
Jejak Gufron,"Pasar demangan lokasinya sangat strategis, namun tentan bikin macet. Selain itu, kebutuhan sayurvmayur sangat lengkap berikut buah-buahan dan jajanan tradisional. Lebih baik datang ke pasar ini lebih pagi biar terhindar macet.",2019-10-14
Mukhammad Eki,berbagai macam bahan masakan ada disini.. kebetulan saya kesini untuk nyobain minum jamu.. kata yang jual jamunya bisa dibikin manis.. setelah saya minum baru dia ngomong kalo manisnya jamu ya tetep pahit.. hahhaha,2019-10-14
Giacinta Risti,"Pasarnya rame, lengkap. Tapi sedikit yg jual buah buahan.
Kebanyakan jual sayur, rempah dan kelontong.
Ada yg jual nasi/bubur gudeg di dalem. Ada 3 berjejer. Beli nasi gudeg pakai …",2022-10-14
Bambang A. Roesamadikroen,"Pasar ini merupakan pasar tradisional yang masih eksis di kota Jogjakarta, merupakan pasar yang dipindahkan dari simpang empat jalan Demangan ke lokasi yang baru, di jalan Gejayan pada tahun 1980. …",2019-10-14
Yohanes Yugo Prakoso,"Pasar yg lengkap untuk belanja sayur mayur, daging, ikan dan sembako. Paling suka beli Jajanan Pasar nya dan Keripik Singkong",2022-10-14
SHetya SHamsonutama (Tyo),"Mari kita ramaikan pasar tradisional,banyak pilihan untuk memenuhi kebutuhan sehari-hari",2022-10-14
Trias kurnia nurfiah,Warung sederhana menjual berbagai macam kuliner jogja. Tapi yang menjadi andalan tongseng balungan. Sedap banget bikin nagih. Kuliner wajib ketika berkunjung ke jogja. Harganya pun sangat terjangkau.,2020-10-14
Kebab Mantap,"Seharusnya ada renovasi pasar, biar pasar tidak meluber ke badan jalan. Semua pedagang dan parkiran berada di dalam pasar. Misal. Lantai 1 parkiran. Lantai 2 dst pedagang. Dengan lahan sempit harus bisa mengakalinya.",2023-10-14
Trias Rahmadani,"Harga lebih tinggi dibanding pasar gowok, bakul e galak kebanyakan, kualitas sayur biasa ajaa malah dibawah e",2023-12-14
Lukitorani Boerhan,"Tidak teratur susunannya. Di trotoar banyak yg berjualan, tapi di dalam banyak kios yang kosong. Gang nya juga sempit, jika pengunjung sedang banyak maka berpapasan akan sulit harus agak memiringkan badan. Kebersihan juga kurang, lantai kotor dan di bagian kios ikan becek krn drainasi kurang bagus",2021-10-14
joko noegroho,"Banyak pedagang di tempat parkir juda sampai di trotoar toko dan di badan jalan, kasihan pedagang pedagang asli pasar yg terdaftar resmi, jadi sepi pelanggan karena ramai di depan saja",2020-10-14
Vinsensius Darius,Pasar yg banyak orang2 rugikan saya disini.,2020-10-14
karnati karnati,Semrawut. Parkir motor sampai seperempat jalan. Licin,2020-10-14
kiki rizky,"parkir sempit,panas gak ada pepohonan",2019-10-14
mua dhiean Weejay,Gak ada parkirannya,2022-10-14
Weksi Dendi,"Sumpek didepan. Longgar didalam.
Pengurus tidak kelihatan.",2022-10-14
Muhammad Amin,Tmpatnya strategis  di dekat batas kota..,2019-10-14
suka suka,kurang nyaman. bau. becek. sering macet,2019-10-14
Anis Okta Cahyaningrum,Harga di pasar dan di warung sama,2018-10-14
Kethut Sumanto,Susah parkir,2023-10-14
Budiprasettyyo Prasettyyo,Tempat parkir yg kurAng,2017-10-14
Aris Sukamto,Tempatnya kurang bersih,2017-10-14
Nelson Yonatan,Parkiran susah,2019-10-14
Widi P (Mas Widi),Masih kotor,2017-10-14
Florencia Irena,Kotor dan bau,2017-10-14
Riki Nge-game,Kurang tertata,2019-10-14
Jumadi Jumadi,"Mengapa gerobak/kletek yang mengangkut perbekalan barang tidak bisa melewati pintu utama? Katanya keramiknya tidak pecah. sama saja, tak jadikan tempat parkir..dan jalan lain pun sempit.. kasihan kuli yang membawa gerobak dan terjebak masalah..",2019-10-14
i,Tehnya KAI Lal Portugis,2019-10-14
agus kuntarto,"Kotor, kotor",2018-10-14
Celia Lusiani,Penuh sesak,2017-10-14
Ade Ridwan,"Menurut saya pribadi Pasar ini termasuk yg kotor & jorok bagaimana tidak, dari depan saja tepat pas pintu masuk banyak sampah yg berserakan ditambah lagi ada tempat pembuangan sampah di ujung dan itu sangat banyak dan dibiarkan menumpuk. …",2023-12-14
Bambang Bagiyoharto,"Kapan yaa pasar Demangan direnovasi jadi pasar tradisional yg rapih, bersih dan tertata. Sehingga para pengunjungnya dapat berbelanja dengan nyaman dan tidak umpel2an.....m",2023-10-14
angela andrita,"Permasalahan yg selalu ada dari pasar adalah kurangnya lahan parkir. Pasar gejayan parkirnya sampai jalan, suka bikin macet terlebih saat jam buka pasar. Apalagi banyak juga penjual yg berjualan di trotoar. Kalau hari biasa susah cari yg jual bunga tabur buat nyekar",2017-10-14
moto camp adventure,semrawut tdk tertata terutama yg jualan di luar pasar. pdhl di dlm byk tempat jualan yg kosong. coba semua pasar di DIY di tata seperti pasar beringharjo.,2022-10-14
Maia Braga,"Pasarnya semrawut, trotoar yg harusnya buat pejalan kaki malah buat jualan, padahal los yg d dalam banyak yg kosong,kasian toko yg d dalam jd sepi
Jalan buat parkir,jd bikin macet.",2021-10-14
Urza Rumpoko,Banyak dijual makanan lokal terutama di pagi hari. Tapi hati2 disini tidak ada lokasi parkir yg memadai sehingga pengunjung pasar paegir di bahu jalan dan sering bikin jalan macet,2016-10-14
rui wili,"Seperti pasar tradisional pada umumnya, terdapat di dalamnya orang berjualan sayuran, buah-buahan, anek jajanan pasar, penjual daging ayam, ikan, dan toko kelontong.",2016-10-14
riant cox,"Jalan masuk pasar becek dan penuh orang berjualan, jadi gak bisa bawa barang banyak.
Mohon pengelole pasar menertibkan.",2019-10-14
Endang Wulandari (Wln),"Sering ke pasar ini, pasar pagi, tempat sempit, kotor dan tdk tertata baik. Tapi murah asal bisa nawar",2018-10-14
Alhada Habib,"Kotor dan agak kumuh, apalagi kalau hujan. Tapi ya wajar, seperti kabanyakan pasar tradisional pada umumnya di Indonesia.",2018-10-14
Mas Nonong,"parkirannya kurang sip,,jadi bkin jlan macet klo pas lg jam masuk kerja...",2021-10-14
Latifa Nyonya,Pasar demangan.di dalam sepi diluar penjualnya membludak sampai trotoar.membuat pembelivkurang nyaman,2021-10-14
Brigadir Rr EH SH MH,ya saya dikasih sama bapak2 untuk menempati lokasi itu karena sy seorang pekerja dipolresta,2022-10-14
Nur Sukaryadi,Pasar di tengah kota yg lumayan ramai dan sedikit kumuh dan penataan yg kurang rapi...,2021-10-14
Latif,Sumber kemacetan jalan karena banyak pengunjung namun tidak ada area parkir yang memadai.,2018-10-14
Mulyasari Bunaya,"Kotor dan harganya gak merata. Kudu keliling dulu baru dapet harga pas,",2018-10-14
Puguh Asnawi,Disana ada warung bakmie yang ada menu balungan super enak. Namanya gak ada. Tapi sering makan disana,2017-10-14
Yudha Ardiyanta,"Kebersihan, tempat parkir, penataan, dan aroma harus terus diperbaiki secara berkelanjutan",2017-10-14
Flower Kamboja,Kasian tempatnya kurang diurus oleh pemerintah daerah. Perlu dilakukan penataan agar lebih rapi,2018-10-14
Hepi Jatmiko,"Pasar tradisional di Yogyakarta, tempat parkir roda 2 dan roda 4 kurang memadai.",2017-10-14
2 2,"Pasarnya dekat lampu merah, jika sedang hari pasar sering macet",2017-10-14
Renata Oke,"Tempat parkirnya susah, penataan pedagang semrawut...",2019-10-14
KRISMANTO RAPHAEL PRIYOATMOJO,"Parkirnya ribet...kurang nyaman, menggangu jalan utama",2017-10-14
rifandy harahap,"Kecil, kotor & sempit tdak tertata dgan baik",2021-10-14
Imma Indra Dewi,Pasarnya kotor. Pedadangnya banyak yang mengambil badan jalan,2016-10-14
Machiko Kenziro,Ramai sayangnya kalau sahur toko toko tutup.,2016-10-14
ORANGEs TaoMingTse,"Pasar tradisional, untuk memenuhi kebutuhan sahari-hari,,",2020-10-14
Oktaviana Primasari,Disini gak terlalu lengkap gais jadi jangan berharap berlebihan,2019-10-14
mega wahyuni,Gak semuanya bisa di dapet di pasar ini.  Dan agak kotor.,2017-10-14
Jati Nugroho,Selalu bikin macet seusai pulang kuliah di siang hari,2017-10-14
Kristanto Radjin,"Pagi2 buka, sayang kurang terawat",2020-10-14
Cahyo Wahyu,Tempat parkir cuma di pinggir jalan. Pasar kumuh,2017-10-14
thiyas galuh,pasar buka di pagi hari dan bikin macet,2019-10-14
oktavia safitri,Tempat kumuh. Parkir sempit (dipinggir jalan),2017-10-14
Mas Arya Jogja,Tempat parkir u mobil kurang memadai,2017-10-14
Papa Darrent Olla,Kumuh dan berantakan.,2023-12-14
Rachmad Prasetyo,Pedagang yg kurang tertata,2019-10-14
S Eko,Jalan terlalu kecil. Repot jika berpapasan.,2018-10-14
Pak Menggung Sobokebon Jogja,Harga cukupan pasar rakyat,2021-10-14
ade sutejo,"Pagi2 jangan lewat sini, macet",2021-10-14
Masjoe Joeda354,Tempat strategis mudah dijangkau,2019-10-14
Bersama Insan SOLEH,Parkir mobil super sulit,2019-10-14
Sutarmini Eyang Kanya Zifa & Zamy,Lumayan komplit strategis,2017-10-14
Hartini Hwangnie,Jorok penataan juga ribet,2022-10-14
Natan Daymonji,"mahal""",2017-10-14
Riki Yakob,Parkir susah,2021-10-14
Fenesya Novanto,Kumuh dan kotor,2019-10-14
Ardi As,Parkir susah,2020-10-14
Mas Nurudin,Kurang bersih,2019-10-14
Dila Dila,Bagus,2022-10-14
Kodok Oren,Bikin macet,2018-10-14
Titik Sulanjari Novembria,Kotor,2020-10-14
shallom manuella,semrawut,2020-10-14
Danny Dj,Lumayan,2018-10-14
Archadius Budi Adi Santosa,Pasar tradisional di Yogyakarta. Letaknya di dekat Jalan Urip Sumoharjo sebagai tempat ramai di pagi hari,2016-10-14
Subur Priyono,Pasar ini merupakan pasar tradisional,2021-10-14
mei R,Terima kasih,2020-10-14
Hon BookStore,Tempat belanja harian. Ada banyak penjual yang bisa dijadikan langganan karena ramah.  Salah satunya penjual camilan. …,2019-10-14
Bambang Sri,Terlalu banyak yang berjualan di luar pasar... harusnya bisa buat parkir.. parkirnya jadi memakan bahu jalan. Bikin macet kalo pas jam sibuk... mungkin bagus dibikin 2 lantai.. seperti pasar Prawirotaman..,2024-01-14
By Dika Ramadhani,"😂 ni pasar rameeeeeee...parkirannya ada di tepi jalan gejayan, jadi bikin maceeeeeeeet....dari mulai mobil, motor, becak, sepeda, pedangan ada fi tepi jalaaaan... Kedepannya semoga pasar ini punya parkiran sendiri.Amiiin …",2019-10-14
