Nama,Ulasan,Tanggal
Mas Fahmi,"Pasar Giwangan adalah salahsatu pasar yang besar di Jalan menuju terminal giwangan, disini tersedia banyak sekali sayuran, hewan-hewanan serta buah-buahan tinggal kakak abang semua pilih sesuka hati nya saja, untuk harga nya tentu nya lebih …",2024-08-14
Zura Novianti,"Pasar induk buah dan sayur. Harganya lebih murah, tapi harus beli per peti (sekitar 38 kg). Kalau mau ngecer, ada lagi pedagang eceran",2024-09-14
Arifah Agustina,Pasar induk yang cukup lengkap. Kalo pagi ada satu warung sayur dipojokan pasar yang lengkap dan murah. Ibu ibu pasti suka,2024-09-30
Baidi Azzamani,"Pasar Giwangan merupakan salah satu pasar tradisional yang di Daerah Yogyakarta bagian selatan dekat dengan Terminal Giwangan.
Pasar ini menyediakan aneka dagangan seperti sayur-sayuran, ikan, ayam, dan kebutuhan dapur lainnya",2024-07-14
Miftahul Huda,Pasar tradisional buah & sayur Giwangan buka 24jm merupakan pasar yg nyaman di kunjungi dari kalangan menengah kebawah,2024-07-14
Yulyanto Wibowo,"Pasar yang lumayan besar di daerah bantul dan dekat dengan terminal giwangan, tempat parkir juga lumayan luas",2024-09-14
Faiz Pranawestu,"Pasar Induk, kalo awam mungkin kesulitan mencari harga miring, apalagi kalo rumahnya jauh dan harus mengeluarkan transport. Beda cerita kalo udah tau kios mana yg murah, udah punya langganan, atau mungkin skill nya pro ketika menawar. Atau …",2024-01-14
Michael & IChaa,"Pasar tradisional yang lengkap.
Kalau harus belanja malam hari, pasti kesini meskipun rumah jauh dari lokasi.",2024-08-14
Witri Handa,"Belanja disini kalo nggaktau rumus, sama aja kaya di warung. Disana kita gaboleh males keliling pasar biar bisa dapet harga murah banget dan barang bagus. Luas bgt tempatnya, sangat lengkap. Sayang yg bagian selatan untuk numpuk sampah sangat mengganggu pernapasan.",2024-09-14
Idafajarriyani 1603,Serba ada deh saking banyaknya pedagang sampe bingung mau beli apa hhihi,2024-08-14
Ayu Malinda Sari,Cocok  buat kamu yang mau beli bahan2  sayur  dan buah  untuk   porsi   banyak ...   karena   biasanya yang beli  disini  untuk  dijual kembali,2024-09-14
andreas deny christanto,"Pasar buah dan sayur yang sangat lengkap. Jual grosir buah dan juga sayur segar. Sayur biasanya datang siang, klu buah biasanya dtg pagi. Harga sangat murah jika beli grosir. …",2022-10-14
haryo kurnianingsih03,"Seru asikkk murmerr nyamannnn enak buat nugass dan me time, jos pokoee",2024-07-14
Hamizan Hibatullah,"Pasar tempat beli buah sayuran, sore-sore sekalian ngabuburit belanja disini lengkap banget. Buka dari pagi sampe malam.
Pokoknya jika ingin beli grosir di pasar ini sangat menguntungkan.",2023-10-14
Mamiku Widi Astuti (Gelora Cinta Senyawaku),"Tempat aku ke pasar tiap hari belanja kebutuhan dapur, tersebab aku seorang pelaku usaha kuliner/cemilan olahan kacang-kacangan, yuuuk di kepoin orderan selanjutnya. 👋👌🥜🥜🥜✍️ …",2023-10-14
Awalina Rachma,"Berbagai macam sayur, lauk pauk, buah, bumbu dapur ada disini. Masih fresh dan harga bisa nego tentunya",2023-10-14
Widhiuw,"Salah satu pasar terlengkap di Jogjakarta. Di bagian depan terdapat kios-kios yang menjual sayuran, bumbu-bumbu, daging, dan ayam. Masuk lebih dalam, pengunjung akan disuguhi lebih bermacam sayuran, bayam, wortel, sawi, kentang, kacang …",2021-10-14
Rani Pamungkas,"Pasarnya luasss, semua ada. Kurang rekomended bawa mobil lewat jalan tengah, soalnya di tengah pasar, biasanya rame orang, dan ada motor di pinggir- pinggir jalan. …",2024-06-14
FAJAR Htt,"Kalau cari mangga yg kecut + kedondong biasa yg di kios pojokan,

Buah lengkap harga bersaing, kalau cuma beli partai kecil mending mlipir tempat lain sih. Apalagi yang sayur, kalau belum apal sama pedagangnya harganya agak lain.",2024-05-14
Ei_bih 08,Setiap hari pagi siang malam 1x 24 jam semua kebutuhan pasar ada disini pokoknya plastik sayur danlain² semua ada pokoknya,2023-10-14
Edi Sastrawijoyo,"Sering kepasar giwangan...
Beli sayuran, ikan, ayam, makanan, sembako,  buah dll.. …",2023-11-14
arif riyanto,"tempatnya luas dan area pasarnya tidak terlalu kotor, pedanganya juga banyak, untuk bahan pokok makanan dan minuman lengkap semua, bisa di nego juga, di pagi hari pasar ini sudah buka.",2021-10-14
RENDI KUSUMAH,"Ternyata besar tempat nya, saya kira cuma 2 jalur aja.. pas liat2 sebelah kiri ternyata masih luas, rekomend buat ibu rumah tangga yang suka nyari2 bahan sayuran karns disini komplit",2023-10-14
Nevita Jesi,"Pasarnya luas.. Dari sayuran, buah - buahan , daging semua ada di pasar ini, dan lebih segar. Tapi lalu lalang kendaraan roda dua tanpa ada petunjuk yang jelas. Waktu saya kesana harus kerepotan karena pas jalan mau kluar kepasar macet lama😔. Untuk penjual disini jg kurang ramah dalam menglayani pelanggan nya. …",2019-10-14
Nanang Risdiansah,Pasar yg komoditinya komplit...t4 sangat luas...bs grosir ataupun ecer....hrga variatif.buka 24 jam,2024-07-14
Arsen Husein,"Sayang pas sayur mahal, beli harus buanyak puluhan kilo kalo mau harga murah.",2024-09-23
Lasamana Labani,"Hampir tiap sore ke pasar giwangan nemenin orang tua belanja/disiruh belanja, untuk harganya macem² ada yg cukup mahal sampe yg murahh... tinggal pinter² aja cari pedagang yg murah. Hampir semua kebutuhan pangan ada disini tempe, daging, …",2023-10-14
Novian Heri,Pusatnya pasar buahh di jogja lengkap mau cari buah apa aja ada cuman kalo. Mau cari buah atau sayur untuk dijual lagi mending ke pasar dakam nya deh jangan yang di pinggiran soalnya kalo untuk jualan lagi harganya bisa 2x lipat walaupun masih daerah pasar Giwangan juga,2022-10-14
Endang Kusmiati,Pasar sore giwangan itu pasar yang unik banget jadi Kita itu belanjanya Kaya model drive thru gitu. Kita bisa belanja sambil Naik motor trus berenti di lapak/toko yang Kita inginkan. Jadi gak Ada tempat parkirnya yg khusus. Jadi kadang suka …,2020-10-14
siakjo,"Pasar yg lengkap banget, semua bahan masak ada disini...buka dr pagi smp pagi..ga perlu kawatir kalo butuh beli bahan jam berapa aja.. jogja istimewa 😁 bapak parkirnya juga okee.. …",2019-10-14
Agus Widodo,"Pasar ini cocok bagi pedagang yg mau kulakan sayur&buah. Harga nya bisa lebih murah,mulai pada jam 12 siang pas barangnya diturunkan dari kendaraan.Dgn syarat bisa tawar menawar harga.",2018-10-14
Andi Wahyu Kristianto,"Pasar induk Jogja yang terletak di Jogja bagian selatan, tidak jauh dari terminal bis Giwangan.
Tersedia sayur mentah, buah2an dan daging disini",2023-10-14
Anugrah Perdana Rahmanta,"Sering antar bojo kesini, biasanya sore².. beli sayur mayur komplit.. ada juga daging ayam lele dll.. bumbu dapur giling juga ada, kertas bungkus makanan, plastik sedotan ada, atm ada bberapa. mau bikin apa aja ada bahannya disini. Saran sy kalo kesini naik motor saza.. jalannya sempitz..",2020-10-14
Galih Muhammad F,"Pasar induk sayuran dan buah lengkap di jogja, saran kalau kesini naik mobil mending cari parkiran dulu karena jalannya kecil dan sempit ramai orang jalan. Pasar Giwangan adalah pasar 24 jam, namun terdapat waktu paling efektif untuk …",2023-10-14
Ahmad Saputra Saputra,Nyaman sangat membatu bagi pedagang yg ingin sholat,2024-04-14
Anggi Agung Mukti,"Pasar yg cukup besar.
Dibelakang ada pasar induk grosir sayur dan buah.
Untuk masuk mobil dari sisi selaran, berbatasan langsung sama ringroad selaran. …",2023-10-14
Fajar Astanaprima,"Pasar tradisional yang ramai & buka nyaris 24 jam. Jadi pilihan ketika anda perlu bahan bahan dapur yang kiranya darurat, karena pasar ini tidak ada jam buka atau tutup resmi. Lapak pedagang banyak & berbagai macam barang tersedia disini. Hanya saja tempat parkirnya sempit.",2019-10-14
Rohima Nur Latifa,Kebutuhan sehari-hari dapat ditemukan secara lengkap di pasar Giwangan.,2023-10-14
Fdh Syf,"Kalo sore rame. Jalannya sempit pas yg dekat tikungan. Kalo bisa motornya di parkir aja, biar gak ganggu lalu lalang.",2019-10-14
Tha Waty,"Pusatnya grosir aneka buah dan sayur. Pasar induk yang di supply dari petani langsung. Harga lebih murah dan hemat belanja di pasar. Parkiran ada luas, hanya saja kalo hujan tetap becek.",2024-03-14
Tito Febriyan,"Jos yg mau beli sawi ancer ancernya pict ini. Buka dr jam 2 / 3 sore sampai habis biasanya paling lama jam 9 malam, kalo laris tutup maghrib. Melayani pesenan besar utk hotel, catering, dll",2020-10-14
Ananda Yunianti,Pasar induk berbagai macam kebutuhan pokok sehari-hari,2024-09-30
Dian April,"Tempat belanja sehari-hari.  Tp klo pas lg males, tinggal klik-klik belanja online di Tokopedia @ceritadapurbunda. …",2022-10-14
Make hudin,"Tempat beli kulakan yang lengkap dan murah.
Tempat ini ramah, jangan berbuat yang aneh-aneh.
Disini semua mencari rejeki dan dengan kebaikan. …",2020-10-14
reza prisma,"Salah satu pasar tradisional yang berada diwilayah kota yogyakarta, pasar sayur, ikan dan buah yang tempatnya cukup luas dan harga nya murah, tempat nya juga lumayan bersih. Pasar ini selalu ramai oleh para pembeli, dikarenakan  tempat ini dijadikan tempat kulakan untuk kemudian dijual kembali oleh pembeli.",2019-10-14
Toto A W,"Pasar Giwangan ini buka 24 jam non stop.Aktivitas tertinggi justru terjadi pada sore hari sampai menjelang pukul 06.00 WIB.
Pasar Giwangan ini merupakan satu-satunya pusat grosir buah dan sayur di wilayah …",2019-10-14
Mame Tarsini,"Sebenarnya komplit, cuma kumuh semrawut, dan parkirannya kurang tertata",2024-06-14
Zhasee Moon,"Super lengkap,,klu mau bnja mlm2 kesini ajh..",2024-07-14
Agung Chandrisya,"Traditional market for vegetables and fruits, local and import,  24 hours market, come at midnight at 1 am or 2 am will get cheapest price from supplier (first hand). Also can find fish, chicken meat etc here. Lil bit dirty becouse this is indonesian traditional market 😁 …",2018-10-14
Nadya Permatasari,Pas banget kalau kepasar malam2 ada kebutuhan mendadak dangdut,2024-06-14
Bustan Jogja,Tempat jajan beli grosir ecer buah sayur² ada juga kebutuhan masak² lainnya bumbu² rempah dapur ikan² laut tawar ayam. …,2020-10-14
Ika Rakhmawati Hilal,Pasar tradisional terbesar di Yogyakarta. Mau cari sayuran apa aja ada. Harganya terjangkau,2020-10-14
em-ha duasatu,"Pilihan lengkap  buah dan sayur
Bumbu dapur dan kebutuhan makan sehari hari  juga ada",2023-10-14
besta roseita,lokasi startegis.. tempat bersih dan nyaman. kalo pesen grab/gocar bisa di anter sampe masuk ke halaman pasar.. disini cukup lengkap kalo mau belanja sayuran dan sejenisnya. jadi ga nyesel belanja di pasar ini.. selain lokasi nya yang cukup dekat dari pusat kota daerah istimewa jogjakarta.. selamat berbelanja bu ibu...,2020-10-14
One.kemangi@gmail.com Jogjakarta,"Menyediakan kwalitas Kemangi daun super dan daun Kangkung...
contak 082138734399",2020-10-14
Corvie Barata,Sangat komplit bahan2 pokok pokok rumah tangga,2024-10-09
Desy Ruri Yuliyani,"Pasarnya luas banget, jadi bingung untuk milih. Tapi kalo udah punya langganan tempat belanja mungkin gak bingung. Pasarnya buka 24jam menurut salah satu penjual disana. Yang dagang bergantian, jadi dipastikan barang dagangannya …",2019-10-14
Nufahn,Menyediakan segala macam kebutuhan sayuran lengkap.,2020-10-14
ifan saputro,"Harga terjangkau & bisa dibilang grosir, komplit untuk sayur mayur, barang fresh langsung dri petani",2022-10-14
Lusi Muliawan,"Pasar induk sayur dan buah. Tapi tetep ada kebutuhan lain, misal ayam, ikan, dll. Tempatnya luas, parkir luas. Kalau pas ramai ya penuh.",2020-10-14
Vika Utami,"Akses mudah, parkir mudah, sayur buah lengkap. Jika hujan sedikit becek. Lumayan bersih tapi bisa ditingkatkan lagi. Jalan antar koridor sedikit tidak rata.",2018-10-14
Willy Alfarius,"Pasar induk yang lengkap di Kota Yogya. Sedia sayuran, ikan, daging, dan buah-buahan segar, dan tentunya sembako serta kebutuhan pokok lain.",2022-10-14
Ahmad Shahreza,"Pusat pembelanjaan segala macam sembako dan kebutuhan makanan ,buka 24jam jadi jangan ragu belanja di sini semua ada.",2021-10-14
Nurmuwahhidah Azkiatuzzahro,"Tempat distributor buah dan sayur, pasar induk Jogja di bagian ringroad selatan dekat terminal giwangan, cukup bersih. Sangat ramai, sudah 3x mampir kesini, harga harus pinter² dalam menawar belanjaan. Selain buah dan sayur ada juga lauk pauk, dan kebutuhan lainnya.",2024-01-14
Usman Saleh,"Kebersihan Terminalnya kurang diperhatikan, semogga kedepannya pengurusnya untuk kebersihan bisa di tingkatkan.",2019-10-14
Abdus salam,"Mantap, silahkan belanja dipasar induk giwangan",2024-07-14
Eko Wilarno,"Pasar buah dan sayur yg berada di sebelah barat terminal giwangan.
Pasar ini pusat grosiran buah dan sayur. Yg bukan non stop. Buah yg datang dari berbagai daerah jawa, khususnya jawa timur (banyuwangi. Kediri), jawa tengah (sayuran : wortel, kool, cabe) dan harga di pasar sangat miring",2023-10-14
Diah Dee,"Hae gaess, kalian biasa belanja dapur dimana? Aku sih sukanya di pasar giwangan. Karena di situ merupakan tempat bertemunya para pemasok bahan makanan dari daerah mana saja. Oh iya, soal harga tidak semua barang di sini murah ya gaess, kamu harus pintar-pintar memilih dan menawar. Oke dah! Selamat berbenlanja! Yuhuuu",2018-10-14
