Nama,Ulasan,Tanggal
Nurwahiddatur Rohman,"Baru ini saya belanja sakit hati.

Mau beli roti panggang di Toko Bayu. …",2022-10-14
Umi Rofida,"Kurir tidak profesional, suka ngundur² jadwal pengiriman, masa iya paket saya 2 kali diundur, kurir slowespon, seenaknya sendiri",2024-02-14
rini sulistiawati,Pasar yang sudah jadi icon dikotagede saya sering bolak balik kepasar legi karena tempatnya Deket dan ok lah pokoknya,2024-02-14
Ojo Cidro Official,harus nunggu korban dulu ya baru bagus pelayananya? rumasakit bobrok!!,2024-04-14
Fadjari Wibowo,"Ini Pasar tradisional yang memiliki sejarah panjang. Berada dekat makam2 Raja di Kotagede. Pagi hari didominasi sayur dan keperluan rumah tangga, kalau sore hari banyak dijual jajanan pasar dan makanan matang. Setiap pasaran Legi, banyak yang menjual burung dan sejenis.",2020-10-14
Sri Sukamti,Pasar Kotagede. Pasar tradisional. Yg aktifitasnya dari pagi   .  Sampai sore  malam. .khusus untuk yg diluar.  Biasanya khusus segala macam. makanan. Lauk pauk dan Snack .   Selalu ramai.     Senang lihat masyarakat bertransaksi.   . …,2020-10-14
Nur Wiat,Sempit kurang sehat,2024-08-14
Endyharto AH,Unik klu.pagi pedagang sayuran di tepi jalan.mudah untuk belanja tp.kasian yg.py.lapak didalam pasar.pembeli berkurang banyak,2022-10-14
Mari Marianti,"Pijet mantap. Ahli syarat, InsyaAllah.
Recomended ikhtiar sembuh.",2024-01-14
Gilang Mebel,Mengadyikan di ksla menjelang petang dan ada wisata religi,2024-02-14
hesti endah,Rame macet jalan ketu2p sama parkiran motor n penjual yg meluber di pinggir jalan....,2023-10-14
Lindu Aji,"Pasar klasik penuh sejarah kerajaan mataram lama, biasa ramai di pasaran legi penanggalan jawa ,dekat dengan masjid besar peninggalan kerajaan mataram islam sultan agung",2019-10-14
tri rakhmat haryono,Pasar tradisional tempatnya juga bersih tpi terkadang slokanya sering tuk buang air kotor fri pedagang,2019-10-14
Fredy Guling,"Kondisi masih kumuh, harus direnovasi dgn design modern tanpa meninggalkan nilai sejarahnya, parkir yg amburadul",2020-10-14
Properti Hot Deal,"Lewat pasar ini, harus hapal hari jawa..karena setiap pasaran legi pasti penuh sesak. Suasana seperti pasar desa ...",2019-10-14
agus Subagyo,Aplgi kalo kunjung kesana hari pasaran Legi maka akan didapati komplit dr pasar hewan maupun lainnya,2020-10-14
deraLOVA,"parkir kendaraan sangat berantakan, tolong segera di tata karna petugas parkir belum bisa.",2021-10-14
Arief Rmadia,Sudah beberapa kali isi nama Jalan dan tidak di update,2024-01-14
Pramudya Wani perih,Ngpunten tenan saya kurang puas dengan pelayanan ne jenengan mas 🙏 …,2023-10-14
Sunaryadi Yadi,"Pasar tradisional.

Kota gede...menjual barang kebutuhan rumah tangga.dl",2022-10-14
Fitriani Sulaiman,"Parkirnya dijalan bikin macet,pedagang buang sampah ke dalam drainase",2020-10-14
Yanu Nugroho,D map masih ad tp warung y dah gak ad,2022-10-14
taat santoso,cukup rame tak ada petugas satgas COVID-19,2021-10-14
Slamet Djogja,"Pasar LEGI kota gede tempat belanja yang murah,nyaman dan aman",2018-10-14
Trisno Irawan,"Pasar yg harganya murah"" untuk belanja",2021-10-14
Mul Handayani,Pasar daerah kota gede jogjakarta yang ramai dan sangat rekomended,2019-10-14
Serly motor Jogja,Ready segala part mtr,2023-10-14
Subagiyo Rudi ahyadi,Pasar gede didirikan sejak jaman Mataram kotagede,2021-10-14
Walji Yono,Tukang parkir yg seb timur nyebelin  nambah emosi,2020-10-14
Yugo Priyono,Ramai...,2024-01-14
Rusman Saroso,Gayeng penuh sesak orang orang yg nonton burung,2018-10-14
Nana Dwi Andari,"Parkir susah, sering macet, kotor dan bau.",2019-10-14
Ade Sulastri,"Bagus ... Ramai, tertib kumplit 🙏🏻 …",2021-10-14
Fatin Sufaera,Pedagangnya banyak yg galak,2020-10-14
Andika Sukmono Aji,Tempat bertukar cerita dan berbagi kegembiraan,2021-10-14
husna putra,Sdh tidak jualan ST,2022-10-14
Adek Boneng,"Pernah kecopetan hp, keamanan kurang.",2020-10-14
Rini Warih,Kurang nyaman setiap hari pasaran,2018-10-14
Umsinah Rico22,Aman mandali,2024-01-14
Heru Yanto,Bagus.cuma parkir motor bikinmacet,2019-10-14
Suratno 1,Macet kalau pas pasaran LEGI,2019-10-14
Robert Lau,Bagus rame pengunjung,2022-10-14
Fajar Afrianto,"Kotor, macet, semrawut, toilet menyebalkan",2019-10-14
tri satriyo,Sempit jalannya,2021-10-14
IING KHOERIYAH,Pasar nya bersih dari sampah,2020-10-14
Aknessa Oktaviyanti Oktaviyanti,Pelayanan kurang ramah,2023-10-14
Wah Yudi,Buat SIM C,2022-10-14
Tupan Fan,Ngopi,2022-10-14
Eny Ragil,Tiap legi jalanan macet,2016-10-14
Gandung Mugiyono,Ramai jam ketja,2019-10-14
bligon mayron,Lg mau coba,2022-10-14
Antie Jolie,Nyari kebutuham sayur mareeee,2017-10-14
HSN KONFEKSI n Konfermasi,Sangat rame,2021-10-14
Fatimah Swif,Tidak,2019-10-14
Inarti Naert,Pasar seng adem ayem,2021-10-14
Ridwan Yunianto,Sangat menghibur,2021-10-14
Sukirno Penjas,Bagus,2023-10-14
Imam Wicaksono,Semrawut,2023-10-14
Kikin Prabowo,Sangat bagus,2021-10-14
Im Wan,Ya ga perna masuk sih,2020-10-14
Mas Putra,Baik,2023-10-14
Arie Wibowo,Jalan terlalu sempit,2020-10-14
Cemploex Poniran,Banyak kecoa dan tikus,2020-10-14
Winarno Rafi,Mahal,2022-10-14
Bahagia Niqmats,Kumuhhh cuk,2019-10-14
Sitta Fathurrohman,Bagus,2021-10-14
Abri Yansyah,Jelek,2021-10-14
arsyila ramania,Rame,2021-10-14
R 73,Bagus,2022-10-14
AJISAKA joga,Joss,2020-10-14
Aulia Valentine,bersih,2020-10-14
Thelars Hasan,"macet, kumuh",2019-10-14
Marie Montante,Tidak terbuka dan tidak ada apa pun di sekitarnya. Jangan rekomendasikan,2024-04-14
Muhammad Tamrin,Setiap pasar legi...... Muacet pol,2015-10-14
Nursholeh Yadi,bertemu besok kemacetan lalu lintas,2015-10-14
maz ross,Khotbah,2021-10-14
citra jogja,Macet-e poooollll,2018-10-14
victor stoner,Ramebro,2019-10-14
Ari Prasetyo,Yaitu,2015-10-14
Faizal Faizalarif,Jozzz,2018-10-14
Ashari Ashari,Pesanan Sepiii,2020-10-14
Pujowanto Wanto,Barat,2019-10-14
Jati Rinawan,tempat yang salah,2018-10-14
rino raines,"Parkir sempit, didalam gelap dan kumuh",2024-07-14
Hend' Prayogo,"Lalulintas masih semrawut karna jalannya kurang lebar, area parkir banyak memakai badan jalan dan pedagang masih banyak yang keluar dari area pasar.
Mungkin sebaiknya disediakan area parkir atau jalan dijadikan 1 arah saja untuk semua moda kendaraan",2021-10-14
Suradi Bendet,"Wauww siapa gak senang berknjng di pasar kotagedhe,....pasar tradisional semi modern, bisa dibilang gak pernah sepi aktivitas pdagang dri pagi sampai malem ramai sekali, tersedia berbagai kebutuhan pokok sehari-hari, letaknya strategis …",2019-10-14
lestari dwi,"Salah satu pelayan nya jutek judes, wlpn mulut ketutup masker tp sorot matanya kliatan. Aq ganti ukuran cup plastik dia naruhnya sambil kesal. Udh gitu plastik 1 bungkus belom dimasukkan gak di cek dlu. Udh bayar tp barangnya msh ditoko.",2022-10-14
Mugi Suyatno,Setiap sore hari ada Bapak penjual apem dg citarasa tradisionalnya + banyak penjual jajajan & lauk👍👍 …,2023-10-14
Sri Muryati,Sebaiknya   pasar  Kotagede  dperbaiki supaya  bagus  penempatannya. Saat   ini dalam penataan  masih campur bawur  antara  penjual  sate  berdekatan dg  penjual baju..tas dll. Supaya  wisatawan  belanja  itu  nyaman  & mudah mencarinya.  Pasar  yg  lain  sudah  bagus..' mengapa  pasar  Kotagede  masih seperti  itu..?,2021-10-14
Agung Rahmadi,"Parkir mobil gak ada, jln sempit kanan kiri udah di buat parkir motor yg sering bikin macet susah jalan,apa lagi kalau pas pasaran legi mobil  gak bisa lewat",2023-10-14
Tri Kristiyani,"Aku tdk benci tempat ini yaa ...
malah kadang merasa kangen pengin belanja ke pasar ini
Banyak barang aneka kebutuhan sehari2 yg bs kt dptkan disini, selain itu …",2019-10-14
ferry wenas,"Sudah terlalu padat dan semrawut pd jam2 tertentu khususnya diluar pasar sisi utara, banyak pedagang kaki lima yg berjualan dan parkir motor di badan jalan...jadi macet.",2022-10-14
