Nama,Ulasan,Tanggal
Marchell David,"kalo mau jual hp jgn disini deh, udh ditawar anjlok, maksa bgt mau hp yg kita jual, dan bikin risih ,terus knp hrs difoto ktpne kan bukan maling kan ya, ga ramah betul nyesel jual disini",2024-07-14
Muhammad Lucky,"Jatuhnya sekarang kayak harga toko pada umumnya, giliran ditawar marah suruh beli di toko aja atau online. Orang konsepnya aja pasar org nyari yg lebih murah dari toko. Kalau g diperbaiki nanti bisa jadi kayak tanah Abang yg sepi pembeli …",2024-01-14
[LER] Zacan_™,"HATI HATI !!! (Kejadian jam 9 malam) Perhatian, pengalaman nyari barang malem""+sendiri, barang memang agak langka, tunjukin barang lewat foto dari HP, alih"" mencarikan barang HP dibawa sama calo atau tukang pencari barang, untung saya tidak …",2023-12-14
Pakde Noeng,"Sudah tidak seperti konsep pasar klithikan yang dulu. Kini berubah total, model jualan dan barang dagangan tidak semenarik dulu, kini sepi pengunjung",2023-12-14
eass andreas,"Buat mas” counter hp yang counternya  pas pintu masuk sebelah kanan dan pakai baju putihhh,maaf ya saya kesana itu untuk menjual kalo anda tanya mau jualnya berapa????ya saya jawab nominalnya tapi kalo ga berani nawar lagi ya udah ga usah …",2022-10-14
Josandi Khaidir galdian,"Mending beli baru, dibanding beli disini harga debat.
Tak sejangkau kumelepar manges manges kulepar janda ku dapat....no …",2022-10-14
dino phone,"Sedikit cerita, berawal di fb, mencari CDIbekas, karena kondisi pandemi, keuangan harus di minimalis, cari yg bekas asal ok, ternyata kena tipu, lapak Los 6, pojok paling utara, transaksi dengan Tri Wijayanto, dibilang garansi setelah cek …",2022-10-14
Ahmad Sholikin,Barang.nya mahal mahal susah di tawar ...bikin males...beli...sepi terus,2019-10-14
Budi Dharma,"Untk sdr2 dr luar jogja sebisa mubgkin Kalau mau beli HP scond jgn di tempat ini. Sangat sangat tidak rekomens,kwalitas barangnya sangat tdk memuaskan.
Pedaganganya jg gak bgt ramah,spt pasar loak pd umumnya",2021-10-14
Angraini,Cuma ngejual saja.tidak ada yg mau membeli .isi nya bukan jual beli cuma menjual tok,2023-10-14
meliaputri 456,"Beli hp disini,tapi untuk mas pegawainya kurang ngasih minus informasi hp secondnya nya secara lengkap,jadi balik buat minta ganti,karena hp nya ga kedaftar IMEI kek ilegal,akhirnya dapet ganti hehe meski ga 100% duit kembali,saran kalau mau beli sini harus teliti😀 …",2021-10-14
Wildan,"Saya kena tipu disini, beli kampas rem vario di toko variasi, dikasih punya GL-PRO. Kata penjual bentuknya sama.. sampai rumah pas dipasang ternyata beda jauh :v diakalin pun samasekali gabisa.. salah saya yang asal percaya sama penjual, tapi situ yang bertindak sebagai penjual gak jujur semoga dagangannya ga berkah..",2016-10-14
Bangun Prakosa,"Mendekati Hati Raya Idul Fitri tarif parkir naik hingga (4000-5000rb) tanpa ada pemberitahuan sebelumnya, jadi kapok datang lagi... Banyak oknum ternyata... Ngeri...!!!",2019-10-14
milla 805,"Beli anting karatan anjir mana hargany 25k dapet karatan payah, di mall aja 25 dpt yg layak",2023-10-14
andina pungki,"Banyak bapak2 hidung belang. Niat mau jual hp blackberry mati, malah ditawarin dibayar 300k tapi diajak ""JALAN dan TIDUR""",2019-10-14
pasukan patas malam,"Pelayanan buruk sekali lihat barang jadi/tidak jadi
Tidak jadi karena tidak sesuai aja suruh beli lucu. Buruk",2023-10-14
Bintang275,Ora komplit ktk biyen.. kumuh sisan.. apalagi tukang parkir yg depan pasar (resmi) jan kyk preman kabeh.   Aduh... Prihatin. Tdk mencerminkan kota jogja.,2019-10-14
Raka Game,Parah banget isi 20 di kasih 9 rb nota nya saya di kira gak jujur sama atasan saya.. Parah parah,2020-10-14
Cahya Anindya,Karena bulan puasa jd bnyk toko yg tutup,2023-10-14
