Nama,Ulasan,Tanggal
Rifki Kurniawan,"Pasar Prawirotaman merupakan pasar tradisional yang berada di Jalan Parangtritis No.103, Brontokusuman, Kecamatan Mergangsan, Kota Jogja. …",2024-09-23
Novita Anggraeni,"Salah satu spot menghabiskan senja di kota Jogja- gitu sih kata anak-anak skena sekarang. Kalau buat saya, ini tempat nyatai sore sore sembari makan sama teman. Ada spot rooftop yang bisa buat nyunset. Tenant yang buka tidak terlalu banyak …",2024-07-14
Talitha Paramesti,"Pasar modern yang baru aja di revitalisasi, pasarnya bersih dan rapi. Bahkan di dalam pasarnya udah disiapkan beberapa fasilitas layaknya supermarket, mulai dari keranjang belanja, lift, dan eskalator. Kalau di lantai 4 nya sendiri udah ada …",2024-06-14
De' Virach,"Pasar bersih dengan lantai keramik,  eskalator dan lift,  tersedia toilet ada atm bank daerah.
Terdiri dari 4 lantai, lantai atas tempat makan ramai didatangi dari sore hingga …",2024-05-14
Ara Mutiara,"Spot nyore yang enak, but dont forget your sunglasses bcs matahari sorenya mentereng bgt. Pilihan makanannya ga banyak bgt tp lumayan, dan rasa makanan dibanding harga jg cukup sesuai. Bisa lihat perbukitan dan gunung gunung di sekitar jogja",2024-09-30
Hijri Fazar Dwitama,"Pasar dengan 3 lantai + 1 lantai ekraf dan rooftop untuk dapat melihat matahari terbenam. Saya bekerja disini, dan saya suka dengan tempat ini. Walau dipakai tiap hari, namun selalu dibersihkan setelah pasar tutup, jadi kebersihan terjaga di pasar ini",2024-09-14
Ayu Malinda Sari,"Baru kali ini  aku  dateng  di pasar yang  ada  lift dan eskalatornya ..
Seru banget   belanja  disini
Ramah2 …",2024-09-14
"YHarTONO, SH.","Pasar Modern yang bersih indah dan rapi di Yogyakarta, dekat perkampungan bule, lokasi pinggir jalan utama.
Jualannya juga lengkap dengan harga pasar yang standard...",2024-07-14
ocal Sophan,"Saya makan di food court... Tenant baru buka jam 11 siang.. malam hari nyaman... Ada roof top .. banyak pilihan menu .. harga tidak mahal, ada live musik.",2024-08-14
Wenny Setiawati,"Pasar bersih, harganya standart, pengaturan tempat sesuai jenis dagangan sangat rapi, jd kita ngga susah mencari barang yg kita perlu, untuk naik ke lantai atas, ada eskalator, pasar tradisional, serasa mall, semoga tetap terjaga kebersihannya.. 👍👍👍 …",2024-04-14
Kimbitna,"Kuliner di rofftoop pasar prawirotaman silahkan datang agak sore saja, menghindari panas kalau mau liat view kota jogja,.
Jajanannya juga enak enak,. …",2024-09-14
Aqila Ashrafa F.T,"PASAR TRADITIONAL TERBERSIH & TERAPI yang pernah aku datangi selama hidup. 3 lantai pakai escalator, KM juga bersih & wangi, semoga terjaga terus yaa pasar ini.",2024-09-30
Isna,"pasar prawirotaman  merupakan pasar tradisional yang dikelola secara modern, pasar ini terdapat fasilitas seperti lift dan eskalator yang mempermudah pengujung dalam menuju tempat tujuannya. di bagian roof topnya ada berbagai jajanan yang …",2024-04-14
Rona Hafida Heriyanto,"Parkir luas, tempat duduk tersedia. Sayangnya orang bebas merokok, tidak dipisahkan area smoking.",2024-06-14
endah rena,"Tempat luas,
Parkir di samping pasar dan di basement ada
Ada beberapa lantai dengan pengelompokan barang jualan …",2024-02-14
Zunas,Rutin kesini seminggu sekali buat berbelanja Sayur dan bahan makanan agar dapur tetap ngebul hehe.. Pasar sangat tertata dan bersih. Terdiri dari 4 Lantai dan Rooftop yang sekarang instagramable banget buat duduk-duduk santai menikmati …,2024-01-14
Annisa Agista,"Ada eskalator dan lift jadi tdk perlu repot untuk akses ke lantai paling atas,,, disini saya menemukan penjual empal dan iso sapi, abon, dan srundeng satu² nya yg berjualan di lantai 3.. waah makanannya mengingatkan saya waktu kecil sering di belikan nenek saya 🥰 …",2024-04-14
Anggi Mery Pratiwi,"Tempat nyaman dan tidak terlalu ramai, parkir cukup luas dan banyak pilihan makanan",2024-09-14
Renardi Aryo,"Konsep pasar ini bagus. Modern dengan mempertahankan perdagangan tradisionalnya. Untuk wisata kuliner langaumg naik rooftop LT4. Kalo dari basement parkir bisa pakai Lift ke lantai 4. Foodcourt banyak pilihan, rekomendasi saya yang ada oada foto 🤟👍 …",2023-12-14
Wonny Putri,"Spot nyore & nglamun cuma makanan kurang komplit, tenant cuma sedikit",2024-09-14
Ardy Seno,"Cukup terkesan dengan perubahan yang ada. Pasar masa kecil saya, tempat kenangan bersama almarhum Eyang yang dulu suka ngajak belanja di sini. Transformasinya cukup luar biasa setelah 35 tahun tidak menginjakkan kaki di pasar ini. Semakin …",2023-12-14
ardian11 Garage,"Bangunan terdiri dari 4 lantai. Lantai 1-3 merupakan loss pasar dengan berbagai macam jualan sembako.
Untuk lantai 4 atau rooftop merupakan kafe atau kuliner senja yg tiap sore rame …",2023-11-14
Aulia Isna Fadhilla,"nyobain kulineran di rooftop pasar prawirotaman, tempatnya ada di lantai 4, sebelumnya parkir motor di basement kemudian menuju lift. nyampe di atas ada beberapa kedai makanan minuman, kalian tinggal pilih, tempatnya luas, tersedia banyak …",2023-10-14
Uchiha Budi,Banyak jajanan yang dijual. Kalau tidak kuat panas ada tempat yang adem juga. Hati hati kadang angin besar dapat membuat turis sakit. Terbaik didatangi pada jam 5.30 supaya tidak panas sekali.,2024-03-14
rizky hermawan,Pasar tradisional yang berdesain modern dan bersih sehingga orang orang merasa nyaman berbelanja di sini dibandingkan dengan pasar basah yang selama ini lekat imejnya dengan pasar tradisional. …,2024-01-14
Dian Prakoso,Nyaman. Harga merakyat. Beli tempe bungkus daun untuk dibawa pulang ke Surabaya. Kaget dong 30 biji cuma 15 ribu rupiah. Alhamdulillah Yogyakarta anti inflasi. Yuk ramaikan pasar tradisional.,2024-03-14
suharna suharna,"Untuk mencapai roof top Pasar Prawirotaman kita bisa menggunakan lift, cukup bagus untuk melihat view kota dari ketinggian, tersedia beberapa tempat makan yang bisa memanjakan lidah, pesan langsung ditempat, pembayaran bisa Qris dan cash,",2024-03-14
Nelly Viona,"Pasarnya luas dengan fasilitas eskalator & lift.
Bahan-bahan makanan cukup lengkap di pasar ini.",2024-02-14
Nurul Ika Laila,"Range harga makanan 15ribu-50ribuan, minuman dari 3rb-25ribuan. Kalo mau dapet view ini, harus dateng kurang dr jam 4 sore, siap panas-panasan dulu, tp worth buat menikmati sore.",2023-12-14
dinda gayatri,Nyobain makan malam di rooftop pasar prawirotaman. Ternyata nyaman dan pilihan makanannya banyak. Saya nyoba makanan bistik di djoerangan murni dan susu murni. Dimsum nya juga lumayan enak. Buat nongkrong cozy. Waktu datang pas malming ada live music nya.,2024-09-14
Anindra Saraswati,"Pasarnya modern, bersih, rapi, dan lengkap. Ada eskalator, ada lift. Suka banget ke sini.",2024-07-14
Rizka Ariana,"pasar prawirotaman keren banget! ada liftnya loh! pasar dan basementnya bersih.
kalau mau kulineran juga bisa, sore sore nyunset di rooftopnya cocok bgt sih.
kalo aku kulineran claypot ayam katsudon, minumnya soda gembira. porsi soda …",2023-10-14
Meyliana,"Pertama kali kesini, ada eskalator dan lift nya.. bersih tp masih banyak yg kosong.. konsepnya pasar modern bersih.. ada timbangan digital utk umum.. buat yg ga suka becek2 an cocok klo belanja disini 😁 …",2023-10-14
Kitri Widaretna,"Prawirataman bukan pasar tradisional seperti yang disebut dalam google map, karena sudah ada elevator, terdiri dari 3 lantai yang dibagi per blok. Bolehlah kita sebut pasar moderen. …",2022-10-14
Meme Normasari,Harga makan-minum murah. Tempat bersih. Cocok buat nyore,2024-06-14
Ahmed Bistami,"Pasar modern ada liftnya, di roof top bisa buat nongki, mantap 😎😊 …",2023-12-14
Edi S. Mulyanta,"Setidaknya satu minggu sekali saya mengantarkan istri ke pasar ini. Pasar tradisional yang cukup sumpek, sisi selatan sering becek sehingga membuat tidak nyaman belanja. Saat ini pasar ini sudah rata dengan tanah, akan dibangun pasar lebih …",2022-10-14
lopinaphia,Mencoba jajan di food court rooftop lantai 4 pasar Prawirotaman. Ada beberapa pilihan stand makanan dengan aneka pilihan menu. …,2024-01-14
Ditya Ramadhanti,"Lokasi mudah ditemukan. Tempat parkir luas di basement gitu ada tempat parkir motor, bayar parkir 2k.
Bangunannya modern vibe banget. Bersih dan tertata rapi karena segmen kering dan …",2022-10-14
Fajar Suryadianto,"Tempat parkir nya kok tetep di luar dipinggir jalan Apa tidak ada parkiran khusus di dalam bangunan pasar?
Sangat mengganggu pengendara di jam2 berangkat kerja",2024-08-14
Ydhrs,"Tempat nya bersih, parkiran aman dan nyaman.
Lantai 4 nya tersedia berbagai ruangan untuk menunjang kegiatan kreatif digital anak muda. …",2023-10-14
"EKA SUPRIATNA, S.Pd.I",Mantap pasarnya bersih dan tertata,2024-06-14
Wanda Allya Yahya,"Reramean ke sini sambil makan siang. Tempatnya bersih, makanannya lumayan walaupun pas kesana kurang cocok di beberapa menu. Space-space di pasar Prawirotaman yang oke punya, ada work space, podcast, studio foto, dll. Restroom dan musholla-nya bersih. Katanya, kalo pas senja di lt. 4 sunsetnya bisa dilihat dgn bagusss.",2023-10-14
cathchandra,"Tipe pasar modern, tempat nya luas dan tertata. Lebih baik pagi dateng nya krn sayur masih segar dan kebutuhan perdagingan masih lengkap. Lantai paling atas ada rooftop buat nongkrong2 dan ada beberapa pilihan jajanan",2024-07-14
Afef,"Tempatnya dari tahun ke tahun selalu improve terutama lantai 4 (rooftop) yang sekarang makin ramai dikunjungi, banyak ruangan yang dapat disewa maupun tempati seperti studio, ruang rapat dll dan banyak tenant yang berjualan dengan berbagai variasi produk yang dijual.",2023-12-14
KIKO _,"Pasarnya lumayan bersih tapi semakin ke atas semakin sepi. Harga biasa, ga terlalu mahal atau murah. Kesini mau cari buah tapi pilihan buahnya gak banyak. Gak semua pedagang bisa bayar cashless jadi harus sedia uang tunai. Parkir di basement luas tapi bau karena tempat pembuangan sampah juga di basement.",2023-10-14
Anugrah Perdana Rahmanta,"Pasar Prawirotaman yg baru, dibuka (16) Desember 2020. Direhab menjadi standard supermarket. Fasilitas lantai keramik, eskalator, lift, toilet, atm (BPD only) dll.. Tempat cuci tangan ada di pintu masuk barat. Sanitizer ada di dekat …",2021-10-14
Bertin Prafitri,"Seneng banget dekat rumah jd alternatif buat tempat makan bersama keluarga, sayang banget disini tidak disediakan area khusus perokok, tolong dong diatur para perokok, kami yang datang bersama keluarga n anak sangat bingung mau duduk …",2024-08-14
Kristiana Martanti,"Lengkap. Lift, eskalator, trolley belanja. Jadi ngga capek ya bu ibu bawa belanjaan banyak. Bayar bisa pakai ovo dan emoney lainnya. Kalau capek bisa ngopi2 di lt 4, viewnya kota. Toilet bersih, ada co working space juga buat disewakan.",2021-10-14
