Nama,Ulasan,Tanggal
Nurfana Ryan,"Di food court roof top sebelah barat ada penjual minuman yang menagih bayaran padahal sudah bayar di muka, dikasih tau sudah bayar ngeyel tetep ngotot.",2024-06-14
Jayadi Welder69,"namanya pasar ya pasti rame edisi suami anter istri belanja,sekalian cari jajan pasar yng sdh banyak mulai hilang di serbu jajanan halu",2023-10-14
Meow Sagitarius,Utk dishub tolong diperhatikan parkir dipungut 5rb karcis parkir jg tdk resmi terimakasih,2023-12-14
Edy Budiarto,Gudeg mercon...pedasnya endull langsung berkeringat dan gobyoss perut langsung panas....,2022-10-14
nur heru yunarta,Tempat kotor tdk bearaturan mengganggu jln umum harga kurang bersaing,2020-10-14
budi santoso,"nyari oncom, gak ono sing ngerti hadehhh",2021-10-14
Agus Kuntara,G suka,2017-10-14
Muji Yono,SALAM SUKSES,2021-10-14
Andhy Ns,Penjual millet judes di depan pasar,2020-10-14
Alvida Black,TIDAK,2019-10-14
Spw,Semakin banyak yg jual diluar...sgt disayangkan..kasihan yg punya kios didalam..tantangan pemerintah...utk bisa menyadarkan belanja di dlm pasar,2022-10-14
agung santosa,"kurang bersih, apa lagi kalo hujan becek",2017-10-14
Adhi Wibowo,Lahan parkir tidak memadai,2017-10-14
konda decaprio,Sulit terferifikasi?,2022-10-14
Ian Diven,bikin macet,2020-10-14
Juni Antara,Blm pernah,2017-10-14
Gojek Jogja,Blm pernah,2017-10-14
Ulima Ilma,"Bangunan baru jdi masih terlihat lumayan bersih, modern berlantai tiga, ada eskalator dan tangga biasa untuk akses naik turun …",2024-09-16
R Kundarto,"Parkir agak sempit,  kuliner kelontong sayur ikan dll komplit,  strategis.",2021-10-14
Elis Diah,"Hu hah banget brongkos merconya.harga standar sesuai lauk, yg cari makan aja tapi gk cari suasana monggo mampir",2018-10-14
Disha Juna,Bagus kalo malem,2024-09-14
Bimo Wib,"Pasar sedang di renovasi. Proses pembangunan. Semoga menjadi lebih indah, nyaman dan tetap ramai",2023-10-14
Heru “Her” Wahyono,Belum komplit pedagangnua,2024-05-14
Zunan Arief,Pasar tradisional yang berada tak jauh dari pusat kota. Jadi andalan banyak pedagang maupun masyarakat sekitar untuk berjual beli. Banyak macam barang dagangan tersedia. Tetapi disini penataan tampak kurang bagus sehingga terkesan semrawut.,2020-10-14
joe madi,"Pasar lama yg direnovasi kembali, ruangan kurang begitu lebar shg sering desak""an
Jika pagi hari sayuran dihalaman depan pasar",2023-10-14
Singgihprass baik Channel,Pasar ini banyak sayur murah. Tapi klo kesini pagi ya..biasanya jam 9 an udah pada mau kemas-kemas penjual yg ada di depan itu.,2018-10-14
Sa Zaki,"Bahan baku bumbu utk Chinese food blm lengkap, mohon utk mrlengkapainya spt Saus Inggris dll",2020-10-14
Santo Santo,Lumayan bersih untuk pasar tradisional yg bangunannya lawas. Penjual ramah2,2021-10-14
Ida Mukti,Ramai di pagi hari sbl jam 7. Pedagang disiplin dan bubar sesuai kesepakatan tanpa digusur petugas,2017-10-14
Sasti Ira Maharani,Beli ikan di sini murah... Karena dah langganan dari kecil... Kondisi kebersihan pasar harus lebih ditingkatkan..,2020-10-14
Miss Dns,"Fasilitas toilet tlg lbih diperhatikan..
Agar yang pendatang lbih nyaman jika mampir berbelanja",2022-10-14
Rudy Kurniawan,tepatnya bersih.tp butuh fasilitas parkir yg lbh memadai agar tidak menggangu jalan umum,2019-10-14
Chrisje Siwalette,Kurang banyak jenis sayuran dan buah2an jg pasar nya kurang bersih,2021-10-14
Sasa Senja,Sedikit sempit. Pengap juga karena pasarnya di dalam ruangan. Padahal banyak yg beli dan pedagang jiga banyak,2016-10-14
Tales of Digital Footprint,pasar yang seringkali membludak hingga trotoar ketika pagi hari. seringkali mampir kesini untuk beli ketan hitam,2016-10-14
Sri Puji Astuti,"Lumayan lengkap dan dekat dari rumah, tapi belum tertata dengan apik seperti Pasar Bringharjo",2021-10-14
Wahyu Djanti,"Bersih, lengkap, tp pasar tumpah di luar area pasar sangat mengganggu",2021-10-14
Meiyantityas Wuryansari,"Kurang bersih, msh byk pedagang berjualan di lorong/jln di dlm pasar",2020-10-14
Liya Item,Paling enak buat blanja pagi pagi di halaman pasar..sayuran seger2 dan lengkap,2018-10-14
Juanita Utami,"Pasar tidak terlalu besar tapi makanan pokok dan sampingan yang kita cari, ada di pasar Sentul.",2019-10-14
Toni Rasta,"Kecil pasarnya, maklum tradisional. Tapi rame pengunjung. Parkir mobil ya susahnya.",2019-10-14
Gendewoku Jogja,"Pasar tradisional yg wajib kita pertahankan,, jangan sampai kalah dengan pasar modern..",2019-10-14
Umi Rohmah,"Soto ayam yg ada di depan pasar sentul, hmmm rasanya B aja",2019-10-14
hasna mufida surya,Pasar yg asyiik mulai dini hari di sepanjang trotoar jl sultan agung dg harga trjangkau,2021-10-14
Bersama Insan SOLEH,Cukup bersih dan lengkap. Penjaga parkirnya cukup galak. Hehehe,2020-10-14
Mas Marno,"Pasarnya ramai, jam jam tertentu padat. Di sudut sudut tertentu bau tidak sedap",2018-10-14
Sasti Ira,Kebersihan dan penataan pasar harap lebih ditingkatkan lagi,2020-10-14
Macan Putih,Kurang berminat saya terlalu jauh dr lokasi rumah,2023-10-14
Yanto Oey,Pasar tradisionil untuk belanja kebutuhan sehari hari relatif murah,2021-10-14
AP Budi S,"Pasar tradisional yg berada diperkotaan.
Perlu dipertahankan eksistensinya",2017-10-14
Safitri Rahmawati,"Pasar pagi di Jogja.
Harga bersahabat dan lengkap.",2023-10-14
tomi setya,"komplit pasarnya tapi sayang hanya pagi, kebersihan agak kurang",2017-10-14
Santoso Tri irianta,Pasar tradisionil lengkap parkir kurang memadahi masih krodit,2021-10-14
Adi Sasmita,Bisa ditingkatkan pemanfaatannya dekat lokasi wisata pura Mangkunegara n,2018-10-14
sari bulu,Ramai banget tiap pagi jam 05.00sampai sore,2019-10-14
FLSH UPDATES,"Enak bagi penyuka masakan pedas, buka malam hari",2018-10-14
Nur Chan,Bagus bwt belanja pasar n kebutuhan,2020-10-14
jedek ykc,"Tempatnya lumayan bersih
Penjualnya ramah ramah",2020-10-14
Sanda Wibowo,Terkenal karena ada lagu rap-nya,2017-10-14
rifandy harahap,Lumayan baik cma sja tempatnya sempit.,2019-10-14
Wahyu Sudrajit,Pasar y terletak didepan kantor pakualaman ini tak terlalu luas,2017-10-14
Zulfa Rifa,"Pasarnya strategis,dalamnya lumyan bersih.",2017-10-14
Alfa Media,parkir nya aut autan,2023-10-14
deraLOVA,tutup pasar jam 10 pagi,2020-10-14
Saefudin Zuhri,Kebersihannya masih perlu di tingkatkan...,2018-10-14
Topa Topi,mayan rame pas pagi,2020-10-14
nicky nazaready,Banyak pilihan belanja kebutuhan sembako,2017-10-14
Joko Trihono,Kurang bersih pasarnya....,2021-10-14
Morieti 1914,"Bau,becek, sembraut",2023-10-14
